Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Bulgur, dry",342.0,12.3,1.33,75.9,410.0,35.0,164.0
"Corn bran, crude",224.0,8.36,0.92,85.6,44.0,42.0,64.0
"Corn flour, masa, enriched, white",363.0,8.46,3.69,76.6,262.0,138.0,93.0
"Corn flour, masa, unenriched, white",363.0,8.46,3.69,76.6,262.0,138.0,93.0
"Corn flour, yellow, degermed, unenriched",375.0,5.59,1.39,82.8,90.0,2.0,18.0
"Corn flour, yellow, masa, enriched",363.0,8.46,3.69,76.6,262.0,138.0,93.0
"Cornmeal, degermed, enriched, white",370.0,7.11,1.75,79.4,142.0,3.0,32.0
"Cornmeal, degermed, enriched, yellow",370.0,7.11,1.75,79.4,142.0,3.0,32.0
"Cornmeal, degermed, unenriched, white",370.0,7.11,1.75,79.4,142.0,3.0,32.0
"Cornmeal, degermed, unenriched, yellow",370.0,7.11,1.75,79.4,142.0,3.0,32.0
"Cornmeal, white, self-rising, bolted, plain, enriched",334.0,8.28,3.4,70.3,255.0,361.0,86.0
"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",348.0,8.41,2.85,73.4,207.0,299.0,54.0
"Cornmeal, white, self-rising, degermed, enriched",355.0,8.41,1.72,74.8,170.0,350.0,49.0
"Cornmeal, yellow, self-rising, bolted, plain, enriched",334.0,8.28,3.4,70.3,255.0,361.0,86.0
"Cornmeal, yellow, self-rising, bolted, with wheat flour added, enriched",348.0,8.41,2.85,73.4,207.0,299.0,54.0
"Cornmeal, yellow, self-rising, degermed, enriched",355.0,8.41,1.72,74.8,170.0,350.0,49.0
Cornstarch,381.0,0.26,0.05,91.3,3.0,2.0,3.0
"Couscous, cooked",112.0,3.79,0.16,23.2,58.0,8.0,8.0
"Couscous, dry",376.0,12.8,0.64,77.4,166.0,24.0,44.0
"Hominy, canned, white",72.0,1.48,0.88,14.3,9.0,10.0,16.0
"Hominy, canned, yellow",72.0,1.48,0.88,14.3,9.0,10.0,16.0
"Macaroni, vegetable, enriched, cooked",128.0,4.53,0.11,26.6,31.0,11.0,19.0
"Macaroni, vegetable, enriched, dry",367.0,13.1,1.04,74.9,285.0,34.0,46.0
Millet flour,382.0,10.8,4.25,75.1,224.0,14.0,119.0
"Millet, cooked",119.0,3.51,1.0,23.7,62.0,3.0,44.0
"Millet, raw",378.0,11.0,4.22,72.8,195.0,8.0,114.0
"Noodles, chinese, chow mein",471.0,10.9,21.2,63.6,103.0,0.0,19.0
"Noodles, egg, cooked, enriched, with added salt",138.0,4.54,2.07,25.2,38.0,12.0,21.0
"Noodles, egg, cooked, unenriched, with added salt",138.0,4.54,2.07,25.2,38.0,12.0,21.0
"Noodles, egg, dry, enriched",384.0,14.2,4.44,71.3,244.0,35.0,58.0
"Noodles, egg, dry, unenriched",384.0,14.2,4.44,71.3,244.0,35.0,58.0
"Noodles, egg, enriched, cooked",138.0,4.54,2.07,25.2,38.0,12.0,21.0
"Noodles, egg, spinach, enriched, cooked",132.0,5.04,1.57,24.2,37.0,19.0,24.0
"Noodles, egg, spinach, enriched, dry",382.0,14.6,4.55,70.3,355.0,56.0,82.0
"Noodles, egg, unenriched, cooked, without added salt",138.0,4.54,2.07,25.2,38.0,12.0,21.0
"Noodles, japanese, soba, cooked",99.0,5.06,0.1,21.4,35.0,4.0,9.0
"Noodles, japanese, soba, dry",336.0,14.4,0.71,74.6,252.0,35.0,95.0
"Noodles, japanese, somen, cooked",131.0,4.0,0.18,27.5,29.0,8.0,2.0
