Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na"
"Toaster Pastries, fruit, frosted (include apples, blueberry, cherry, strawberry)",385.0,4.01,9.02,71.8,14.0,1.1,1.8,86.0,11.0,311.0
"Toaster pastries, fruit, toasted (include apple, blueberry, cherry, strawberry)",409.0,4.7,11.0,72.7,10.5,1.11,1.0,81.0,12.0,354.0
"Water, with corn syrup and/or sugar and low calorie sweetener, fruit flavored",18.0,0.0,0.0,4.5,94.4,1.0,0.0,0.0,3.0,8.0
"Yogurt, fruit, low fat,9 g protein/8 oz",99.0,3.98,1.15,18.6,75.3,0.93,0.0,177.0,13.0,53.0
"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D",105.0,4.86,1.41,18.6,74.1,1.03,0.0,194.0,16.0,58.0
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified",98.0,3.4,3.53,13.2,79.2,0.69,0.3,149.0,15.0,41.0
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified",92.0,3.05,3.08,13.0,80.2,0.65,0.6,143.0,15.0,38.0
"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",218.0,0.45,0.04,87.4,1.84,10.3,0.1,498.0,3.0,404.0
"Beverages, Lemonade fruit juice drink light, fortified with vitamin E and C",21.0,0.0,0.0,5.0,95.0,0.02,0.0,10.0,2.0,5.0
"Beverages, Water with added vitamins and minerals, bottles, sweetened, assorted fruit flavors",22.0,0.0,0.0,5.49,94.4,0.07,0.0,0.0,3.0,0.0
"Cereals, QUAKER, Instant Oatmeal, fruit and cream, variety of flavors, reduced sugar",376.0,10.2,7.46,71.6,7.39,3.42,8.3,339.0,103.0,559.0
"Snacks, candy rolls, yogurt-covered, fruit flavored with high vitamin C",359.0,0.46,6.53,74.6,17.6,0.77,3.3,100.0,9.0,8.0
"Yogurt, fruit, low fat, 10 grams protein per 8 ounce",102.0,4.37,1.08,19.0,74.5,1.02,0.0,195.0,15.0,58.0
"Beverages, Fruit flavored drink, less than 3% juice, not fortified with vitamin C",64.0,0.0,0.0,16.0,83.9,0.1,0.0,31.0,1.0,36.0
"Beverages, fruit juice drink, greater than 3% juice, high vitamin C",46.0,0.13,0.11,11.4,88.1,0.31,0.1,122.0,5.0,8.0
"Beverages, fruit punch-flavor drink, powder, without added sodium, prepared with water",37.0,0.0,0.01,9.47,90.4,0.17,0.0,1.0,1.0,7.0
"Beverages, The COCA-COLA company, Glaceau Vitamin Water, Revive Fruit Punch, fortified",0.0,0.0,0.0,0.0,99.2,0.15,0.0,148.0,0.0,0.0
"Beverages, vegetable and fruit juice blend, 100% juice, with added vitamins A, C, E",46.0,0.3,0.01,11.2,88.4,0.13,0.0,101.0,7.0,29.0
"Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)",371.0,5.4,18.5,47.8,27.1,1.2,1.9,83.0,15.0,445.0
"Water, non-carbonated, bottles, natural fruit flavors, sweetened with low calorie sweetener",1.0,0.0,0.0,0.13,99.8,0.02,0.0,4.0,0.0,14.0
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, heavy syrup, solids and liquids",73.0,0.39,0.07,18.9,80.4,0.23,1.0,88.0,5.0,6.0
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, juice pack, solids and liquids",46.0,0.46,0.01,11.9,87.4,0.23,1.0,95.0,7.0,4.0
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, light syrup, solids and liquids",57.0,0.4,0.07,14.9,84.4,0.23,1.0,89.0,5.0,6.0
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",32.0,0.42,0.05,8.51,90.8,0.26,1.0,94.0,7.0,4.0
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, juice pack, solids and liquids",50.0,0.51,0.03,13.0,86.2,0.26,1.0,116.0,8.0,5.0
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, light syrup, solids and liquids",58.0,0.34,0.07,15.1,84.2,0.21,1.0,82.0,5.0,6.0
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, water pack, solids and liquids",30.0,0.35,0.07,7.87,91.5,0.22,1.0,78.0,5.0,3.0
"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",86.0,0.41,0.1,22.4,76.8,0.35,1.3,131.0,13.0,2.0
"Snacks, GENERAL MILLS, BETTY CROCKER Fruit Roll Ups, berry flavored, with vitamin C",373.0,0.1,3.5,85.2,10.2,1.0,,,,317.0
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra heavy syrup, solids and liquids",88.0,0.39,0.07,22.9,76.4,0.22,1.1,86.0,5.0,6.0
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra light syrup, solids and liquids",45.0,0.4,0.07,11.6,87.7,0.2,1.1,104.0,6.0,4.0
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids",88.0,0.33,0.06,22.8,76.6,0.21,1.0,80.0,5.0,5.0
"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",227.0,0.25,0.16,91.0,1.32,7.27,2.2,2520.0,245.0,14.0
"Beverages, Vegetable and fruit juice drink, reduced calorie, with low-calorie sweetener, added vitamin C",4.0,0.0,0.0,1.1,98.8,0.13,0.0,24.0,1.0,14.0
"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D",102.0,4.37,1.08,19.0,74.5,1.02,0.0,195.0,15.0,58.0
"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D",99.0,3.98,1.15,18.6,75.3,0.93,0.0,177.0,13.0,53.0
"Abiyuch, raw",69.0,1.5,0.1,17.6,79.9,0.9,5.3,304.0,24.0,20.0
"Acerola juice, raw",23.0,0.4,0.3,4.8,94.3,0.2,0.3,97.0,12.0,3.0
"Acerola, (west indian cherry), raw",32.0,0.4,0.3,7.69,91.4,0.2,1.1,146.0,18.0,7.0
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",46.0,0.1,0.13,11.3,88.2,0.23,0.2,101.0,5.0,4.0
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",48.0,0.12,0.17,11.5,87.9,0.31,0.3,184.0,5.0,5.0
"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",46.0,0.1,0.13,11.3,88.2,0.23,0.2,101.0,5.0,4.0
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",47.0,0.14,0.1,11.5,87.9,0.32,0.1,126.0,5.0,7.0
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",47.0,0.14,0.1,11.5,87.9,0.32,0.1,126.0,5.0,7.0
"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",166.0,0.51,0.37,41.0,57.0,1.12,,448.0,17.0,25.0
"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",166.0,0.51,0.37,41.0,57.0,1.12,0.4,448.0,17.0,25.0
"Apples, canned, sweetened, sliced, drained, heated",67.0,0.18,0.43,16.8,82.3,0.27,2.0,70.0,3.0,3.0
"Apples, dehydrated (low moisture), sulfured, stewed",74.0,0.28,0.12,19.9,79.4,0.33,2.6,136.0,5.0,26.0
"Apples, dehydrated (low moisture), sulfured, uncooked",346.0,1.32,0.58,93.5,3.0,1.57,12.4,640.0,22.0,124.0
"Apples, dried, sulfured, stewed, with added sugar",83.0,0.2,0.07,20.7,78.8,0.24,1.9,98.0,3.0,19.0
"Apples, dried, sulfured, stewed, without added sugar",57.0,0.22,0.07,15.3,84.1,0.26,2.0,105.0,4.0,20.0
"Apples, dried, sulfured, uncooked",243.0,0.93,0.32,65.9,31.8,1.1,8.7,450.0,16.0,87.0
"Apples, frozen, unsweetened, heated (Includes foods for USDA's Food Distribution Program)",47.0,0.29,0.33,12.0,87.2,0.23,1.3,76.0,3.0,3.0
"Apples, frozen, unsweetened, unheated (Includes foods for USDA's Food Distribution Program)",48.0,0.28,0.32,12.3,86.8,0.24,1.3,77.0,3.0,3.0
"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",63.0,0.2,0.18,15.2,84.2,0.24,2.1,109.0,5.0,1.0
"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",57.0,0.25,0.12,13.7,85.8,0.2,2.3,108.0,5.0,1.0
"Apples, raw, golden delicious, with skin",57.0,0.28,0.15,13.6,85.8,0.16,2.4,100.0,5.0,2.0
"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",58.0,0.44,0.19,13.6,85.5,0.29,2.8,120.0,5.0,1.0
"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",59.0,0.27,0.2,14.1,85.3,0.14,2.3,104.0,5.0,1.0
