,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na",Category
180,"Apples, frozen, unsweetened, heated (Includes foods for USDA's Food Distribution Program)",47.0,0.29,0.33,12.0,87.2,0.23,1.3,76.0,3.0,3.0,fruit
181,"Apples, frozen, unsweetened, unheated (Includes foods for USDA's Food Distribution Program)",48.0,0.28,0.32,12.3,86.8,0.24,1.3,77.0,3.0,3.0,fruit
182,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",63.0,0.2,0.18,15.2,84.2,0.24,2.1,109.0,5.0,1.0,fruit
183,"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",57.0,0.25,0.12,13.7,85.8,0.2,2.3,108.0,5.0,1.0,fruit
184,"Apples, raw, golden delicious, with skin",57.0,0.28,0.15,13.6,85.8,0.16,2.4,100.0,5.0,2.0,fruit
185,"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",58.0,0.44,0.19,13.6,85.5,0.29,2.8,120.0,5.0,1.0,fruit
186,"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",59.0,0.27,0.2,14.1,85.3,0.14,2.3,104.0,5.0,1.0,fruit
187,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",52.0,0.26,0.17,13.8,85.6,0.19,2.4,107.0,5.0,1.0,fruit
188,"Apples, raw, without skin",48.0,0.27,0.13,12.8,86.7,0.17,1.3,90.0,4.0,0.0,fruit
189,"Apples, raw, without skin, cooked, boiled",53.0,0.26,0.36,13.6,85.5,0.28,2.4,88.0,3.0,1.0,fruit
190,"Apples, raw, without skin, cooked, microwave",56.0,0.28,0.42,14.4,84.6,0.26,2.8,93.0,3.0,1.0,fruit
207,"Apricots, dried, sulfured, stewed, with added sugar",113.0,1.17,0.15,29.3,68.4,0.98,4.1,443.0,15.0,3.0,fruit
208,"Apricots, dried, sulfured, stewed, without added sugar",85.0,1.2,0.18,22.2,75.6,0.91,2.6,411.0,11.0,4.0,fruit
209,"Apricots, dried, sulfured, uncooked",241.0,3.39,0.51,62.6,30.9,2.57,7.3,1160.0,32.0,10.0,fruit
210,"Apricots, frozen, sweetened",98.0,0.7,0.1,25.1,73.3,0.8,2.2,229.0,9.0,4.0,fruit
211,"Apricots, raw",48.0,1.4,0.39,11.1,86.4,0.75,2.0,259.0,10.0,1.0,fruit
212,"Avocados, raw, all commercial varieties",160.0,2.0,14.7,8.53,73.2,1.58,6.7,485.0,29.0,7.0,fruit
213,"Avocados, raw, California",167.0,1.96,15.4,8.64,72.3,1.66,6.8,507.0,29.0,8.0,fruit
214,"Avocados, raw, Florida",120.0,2.23,10.1,7.82,78.8,1.08,5.6,351.0,24.0,2.0,fruit
216,"Bananas, raw",89.0,1.09,0.33,22.8,74.9,0.82,2.6,358.0,27.0,1.0,fruit
219,"Blackberries, frozen, unsweetened",64.0,1.18,0.43,15.7,82.2,0.51,5.0,140.0,22.0,1.0,fruit
220,"Blackberries, raw",43.0,1.39,0.49,9.61,88.2,0.37,5.3,162.0,20.0,1.0,fruit
224,"Blueberries, dried, sweetened",317.0,2.5,2.5,80.0,14.8,0.73,7.5,214.0,18.0,3.0,fruit
225,"Blueberries, frozen, sweetened",85.0,0.4,0.13,22.0,77.4,0.12,2.2,60.0,2.0,1.0,fruit
226,"Blueberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",51.0,0.42,0.64,12.2,86.6,0.18,2.7,54.0,5.0,1.0,fruit
227,"Blueberries, raw",57.0,0.74,0.33,14.5,84.2,0.24,2.4,77.0,6.0,1.0,fruit
229,"Blueberries, wild, frozen (Includes foods for USDA's Food Distribution Program)",57.0,0.0,0.16,13.8,85.8,0.19,4.4,68.0,7.0,3.0,fruit
231,"Boysenberries, frozen, unsweetened",50.0,1.1,0.26,12.2,85.9,0.54,5.3,139.0,16.0,1.0,fruit
232,"Breadfruit, raw",103.0,1.07,0.23,27.1,70.6,0.93,4.9,490.0,25.0,2.0,fruit
233,"Carambola, (starfruit), raw",31.0,1.04,0.33,6.73,91.4,0.52,2.8,133.0,10.0,2.0,fruit
234,"Carissa, (natal-plum), raw",62.0,0.5,1.3,13.6,84.2,0.4,,260.0,16.0,3.0,fruit
235,"Cherimoya, raw",75.0,1.57,0.68,17.7,79.4,0.65,3.0,287.0,17.0,7.0,fruit
241,"Cherries, sour, red, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",46.0,0.92,0.44,11.0,87.2,0.42,1.6,124.0,9.0,1.0,fruit
242,"Cherries, sour, red, raw",50.0,1.0,0.3,12.2,86.1,0.4,1.6,173.0,9.0,3.0,fruit
249,"Cherries, sweet, raw",63.0,1.06,0.2,16.0,82.2,0.48,2.1,222.0,11.0,0.0,fruit
250,"Cherries, tart, dried, sweetened (Includes foods for USDA's Food Distribution Program)",333.0,1.25,0.73,80.4,16.6,0.97,2.5,376.0,22.0,13.0,fruit
252,"Clementines, raw",47.0,0.85,0.15,12.0,86.6,0.4,1.7,177.0,10.0,1.0,fruit
253,"Crabapples, raw",76.0,0.4,0.3,20.0,78.9,0.42,,194.0,7.0,1.0,fruit
254,"Cranberries, dried, sweetened (Includes foods for USDA's Food Distribution Program)",308.0,0.17,1.09,82.8,15.8,0.15,5.3,49.0,4.0,5.0,fruit
255,"Cranberries, raw",46.0,0.46,0.13,12.0,87.3,0.12,3.6,80.0,6.0,2.0,fruit
262,"Currants, european black, raw",63.0,1.4,0.41,15.4,82.0,0.86,,322.0,24.0,2.0,fruit
263,"Currants, red and white, raw",56.0,1.4,0.2,13.8,84.0,0.66,4.3,275.0,13.0,1.0,fruit
264,"Currants, zante, dried",290.0,3.43,0.22,77.0,17.6,1.77,4.4,777.0,36.0,43.0,fruit
265,"Custard-apple, (bullock's-heart), raw",101.0,1.7,0.6,25.2,71.5,1.0,2.4,382.0,18.0,4.0,fruit
268,"Durian, raw or frozen",147.0,1.47,5.33,27.1,65.0,1.12,3.8,436.0,30.0,2.0,fruit
269,"Elderberries, raw",73.0,0.66,0.5,18.4,79.8,0.64,7.0,280.0,5.0,6.0,fruit
270,"Feijoa, raw",61.0,0.71,0.42,15.2,83.3,0.38,6.4,172.0,9.0,3.0,fruit
275,"Figs, dried, stewed",107.0,1.42,0.4,27.6,69.8,0.8,4.2,294.0,29.0,4.0,fruit
276,"Figs, dried, uncooked",249.0,3.3,0.93,63.9,30.0,1.86,9.8,680.0,68.0,10.0,fruit
277,"Figs, raw",74.0,0.75,0.3,19.2,79.1,0.66,2.9,232.0,17.0,1.0,fruit
278,"Goji berries, dried",349.0,14.3,0.39,77.1,7.5,0.78,13.0,,,298.0,fruit
280,"Gooseberries, raw",44.0,0.88,0.58,10.2,87.9,0.49,4.3,198.0,10.0,1.0,fruit
285,"Grapefruit juice, pink, raw",39.0,0.5,0.1,9.2,90.0,0.2,,162.0,12.0,1.0,fruit
289,"Grapefruit juice, white, frozen concentrate, unsweetened, diluted with 3 volume water",41.0,0.55,0.13,9.73,89.3,0.28,0.1,136.0,11.0,1.0,fruit
290,"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",146.0,1.97,0.48,34.6,62.0,0.99,0.4,484.0,38.0,3.0,fruit
291,"Grapefruit juice, white, raw",39.0,0.5,0.1,9.2,90.0,0.2,0.1,162.0,12.0,1.0,fruit
292,"Grapefruit, raw, pink and red and white, all areas",32.0,0.63,0.1,8.08,90.9,0.31,1.1,139.0,8.0,0.0,fruit
293,"Grapefruit, raw, pink and red, all areas",42.0,0.77,0.14,10.7,88.1,0.36,1.6,135.0,9.0,0.0,fruit
294,"Grapefruit, raw, pink and red, California and Arizona",37.0,0.5,0.1,9.69,89.3,0.4,,147.0,9.0,1.0,fruit
295,"Grapefruit, raw, pink and red, Florida",30.0,0.55,0.1,7.5,91.6,0.29,1.1,127.0,8.0,0.0,fruit
296,"Grapefruit, raw, white, all areas",33.0,0.69,0.1,8.41,90.5,0.33,1.1,148.0,9.0,0.0,fruit
297,"Grapefruit, raw, white, California",37.0,0.88,0.1,9.09,89.6,0.35,,143.0,9.0,0.0,fruit
298,"Grapefruit, raw, white, Florida",32.0,0.63,0.1,8.19,90.8,0.32,,150.0,9.0,0.0,fruit
302,"Grapes, american type (slip skin), raw",67.0,0.63,0.35,17.2,81.3,0.57,0.9,191.0,5.0,2.0,fruit
305,"Grapes, muscadine, raw",57.0,0.81,0.47,13.9,84.3,0.5,3.9,203.0,14.0,1.0,fruit
306,"Grapes, red or green (European type, such as Thompson seedless), raw",69.0,0.72,0.16,18.1,80.5,0.48,0.9,191.0,7.0,2.0,fruit
307,"Groundcherries, (cape-gooseberries or poha), raw",53.0,1.9,0.7,11.2,85.4,0.8,,,,,fruit
312,"Guavas, common, raw",68.0,2.55,0.95,14.3,80.8,1.39,5.4,417.0,22.0,2.0,fruit
313,"Guavas, strawberry, raw",69.0,0.58,0.6,17.4,80.7,0.8,5.4,292.0,17.0,37.0,fruit
316,"Jackfruit, raw",95.0,1.72,0.64,23.2,73.5,0.94,1.5,448.0,29.0,2.0,fruit
317,"Java-plum, (jambolan), raw",60.0,0.72,0.23,15.6,83.1,0.36,,79.0,15.0,14.0,fruit
320,"Jujube, Chinese, fresh, dried",281.0,4.72,0.5,72.5,20.2,2.08,6.0,217.0,,5.0,fruit
321,"Jujube, raw",79.0,1.2,0.2,20.2,77.9,0.51,,250.0,10.0,3.0,fruit
