,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na",Category
622,"Pokeberry shoots, (poke), cooked, boiled, drained, without salt",20.0,2.3,0.4,3.1,92.9,1.3,1.5,184.0,14.0,18.0,vegetable
623,"Pokeberry shoots, (poke), raw",23.0,2.6,0.4,3.7,91.6,1.7,1.7,242.0,18.0,23.0,vegetable
640,"Potatoes, boiled, cooked in skin, flesh, with salt",87.0,1.87,0.1,20.1,77.0,0.92,2.0,379.0,22.0,240.0,vegetable
641,"Potatoes, boiled, cooked in skin, flesh, without salt",87.0,1.87,0.1,20.1,77.0,0.92,1.8,379.0,22.0,4.0,vegetable
642,"Potatoes, boiled, cooked in skin, skin, with salt",78.0,2.86,0.1,17.2,77.8,2.04,3.3,407.0,30.0,250.0,vegetable
643,"Potatoes, boiled, cooked in skin, skin, without salt",78.0,2.86,0.1,17.2,77.8,2.04,3.3,407.0,30.0,14.0,vegetable
644,"Potatoes, boiled, cooked without skin, flesh, with salt",86.0,1.71,0.1,20.0,77.5,0.72,2.0,328.0,20.0,241.0,vegetable
645,"Potatoes, boiled, cooked without skin, flesh, without salt",86.0,1.71,0.1,20.0,77.5,0.72,1.8,328.0,20.0,5.0,vegetable
649,"Potatoes, flesh and skin, raw",77.0,2.05,0.09,17.5,79.2,1.11,2.1,425.0,23.0,6.0,vegetable
668,"Potatoes, frozen, whole, cooked, boiled, drained, with salt",63.0,1.98,0.13,13.9,82.8,1.16,1.4,287.0,11.0,256.0,vegetable
669,"Potatoes, frozen, whole, cooked, boiled, drained, without salt",65.0,1.98,0.13,14.5,82.8,0.57,1.4,287.0,11.0,20.0,vegetable
689,"Potatoes, microwaved, cooked in skin, flesh and skin, without salt",105.0,2.44,0.1,24.2,72.0,1.18,2.3,447.0,27.0,8.0,vegetable
690,"Potatoes, microwaved, cooked in skin, flesh, with salt",100.0,2.1,0.1,23.3,73.6,0.97,1.6,411.0,25.0,243.0,vegetable
691,"Potatoes, microwaved, cooked in skin, flesh, without salt",100.0,2.1,0.1,23.3,73.6,0.97,1.6,411.0,25.0,7.0,vegetable
692,"Potatoes, microwaved, cooked in skin, skin, without salt",132.0,4.39,0.1,29.6,63.5,2.38,5.5,650.0,37.0,16.0,vegetable
693,"Potatoes, microwaved, cooked, in skin, flesh and skin, with salt",105.0,2.44,0.1,24.2,72.0,1.18,2.3,447.0,27.0,244.0,vegetable
694,"Potatoes, microwaved, cooked, in skin, skin with salt",132.0,4.39,0.1,29.6,63.5,2.38,5.5,650.0,37.0,252.0,vegetable
698,"Potatoes, raw, skin",58.0,2.57,0.1,12.4,83.3,1.61,2.5,413.0,23.0,10.0,vegetable
700,"Potatoes, red, flesh and skin, raw",70.0,1.89,0.14,15.9,81.0,1.1,1.7,455.0,22.0,18.0,vegetable
703,"Potatoes, russet, flesh and skin, raw (Includes foods for USDA's Food Distribution Program)",79.0,2.14,0.08,18.1,78.6,1.13,1.3,417.0,23.0,5.0,vegetable
709,"Potatoes, white, flesh and skin, raw",69.0,1.68,0.1,15.7,81.6,0.94,2.4,407.0,21.0,16.0,vegetable
